"x","y","Altitud"
-101.100832913644,21.0883334500149,2181
-101.181666246655,20.9775001171264,2353
-101.079999580394,21.0608334501252,2364
-101.245832913066,21.0625001167852,2341
-101.164166246725,21.0325001169056,2675
-101.224166246486,21.0283334502557,2292
-101.265832912986,21.1316667831743,2497
-101.133332913514,21.0658334501052,2268
-101.152499580105,21.0308334502457,2440
-101.152499580105,21.1183334498945,2414
-101.219999579836,21.0175001169658,2478
-101.208332913215,21.0208334502858,2282
-101.219999579836,21.008333450336,2412
-101.115832913584,21.152500116424,2214
-101.118332913574,20.9958334503861,2403
-101.217499579846,21.1383334498142,2732
-101.199166246585,21.1766667829937,2605
-101.159999580075,21.1200001165544,2422
-101.148332913455,21.0850001166949,2248
-101.233332913116,21.0133334503159,2182
-101.141666246814,21.1175001165645,2179
-101.199166246585,21.150833449764,2407
-101.200832913245,21.0475001168454,2347
-101.122499580224,21.1550001164139,2222
-101.124999580214,21.1550001164139,2192
-101.194166246605,21.005833450346,2355
-101.112499580264,21.0291667835857,2334
-101.109999580274,21.080000116715,2235
-101.181666246655,21.0316667835756,2572
-101.132499580184,21.0850001166949,2199
-101.274999579616,21.0841667833649,2414
-101.134166246844,21.0891667833449,2194
-101.263332912996,21.0958334499848,2508
-101.179999579995,21.1450001164541,2454
-101.203332913235,21.1716667830137,2606
-101.112499580264,21.1708334496837,2164
-101.235832913106,21.005833450346,2247
-101.224166246486,21.0325001169056,2348
-101.188332913295,21.1316667831743,2397
-101.221666246496,21.0983334499747,2541
-101.116666246914,21.0400001168755,2286
-101.174166246685,21.0491667835054,2643
-101.129166246864,21.1716667830137,2216
-101.221666246496,21.1250001165344,2788
-101.254166246366,21.0308334502457,2109
-101.159999580075,21.1441667831241,2213
-101.159166246745,21.1216667832144,2385
-101.232499579786,21.1708334496837,2553
-101.221666246496,21.1025001166247,2513
-101.106666246954,21.1016667832947,2143
-101.152499580105,21.1225001165444,2377
-101.159999580075,20.9958334503861,2516
-101.114166246924,21.0500001168354,2304
-101.078332913734,21.005833450346,2289
-101.099166246984,21.0250001169357,2224
-101.182499579985,21.1033334499547,2293
-101.132499580184,21.0183334502958,2468
-101.272499579626,21.0325001169056,2196
-101.239166246426,21.1241667832044,2581
-101.217499579846,21.0400001168755,2399
-101.276666246276,21.0216667836158,2109
-101.078332913734,21.0183334502958,2339
-101.264999579656,21.1600001163939,2576
-101.251666246376,20.9825001171063,2361
-101.213332913195,21.1291667831843,2682
-101.249999579716,21.0216667836158,2080
-101.153332913435,21.153333449754,2194
-101.221666246496,21.1641667830438,2674
-101.190832913285,21.1433334497941,2342
-101.177499580005,21.0425001168655,2714
-101.220832913166,21.0358334502256,2407
-101.140832913484,21.1658334497038,2150
-101.085832913704,21.0958334499848,2341
-101.137499580164,21.0183334502958,2388
-101.130832913524,21.0525001168254,2308
-101.119999580234,21.1058334499446,2207
-101.080832913724,20.9858334504263,2280
-101.197499579925,21.0100001169959,2329
-101.252499579706,21.0866667833549,2430
-101.119999580234,21.0441667835255,2318
-101.170832913365,21.0925001166648,2563
-101.170832913365,21.0166667836359,2489
-101.269999579636,21.077500116725,2301
-101.246666246396,21.0583334501353,2369
-101.200832913245,21.1633334497138,2534
-101.210832913205,20.9966667837161,2333
-101.175832913345,21.0725001167451,2604
-101.175832913345,21.1141667832445,2405
-101.269999579636,21.0683334500951,2383
-101.099999580314,21.0691667834251,2260
-101.260832913006,21.1083334499346,2583
-101.116666246914,21.1025001166247,2194
-101.190832913285,21.1175001165645,2557
-101.251666246376,21.148333449774,2681
-101.134999580174,21.1075001166046,2214
-101.214166246525,21.0366667835556,2268
-101.134999580174,21.1300001165143,2223
-101.112499580264,21.0916667833348,2129
-101.192499579945,21.0225001169458,2425
-101.199999579915,21.0466667835154,2367
-101.254999579696,21.0266667835957,2055
-101.080832913724,21.0500001168354,2300
-101.084999580374,21.1133334499145,2170
-101.148332913455,21.1633334497138,2262
-101.106666246954,21.0183334502958,2399
-101.099999580314,21.1441667831241,2151
-101.169999580035,21.1433334497941,2405
-101.256666246356,21.080000116715,2415
-101.169166246705,21.1583334497339,2456
-101.160832913405,21.1000001166347,2421
-101.130832913524,21.0250001169357,2378
-101.168332913375,21.151666783094,2364
-101.255832913026,21.0175001169658,2012
-101.237499579766,21.1216667832144,2524
-101.163332913395,21.1625001163838,2306
-101.117499580244,20.9808334504463,2375
-101.175832913345,21.1408334498041,2383
-101.262499579666,21.0600001167953,2330
-101.084999580374,21.0150001169759,2320
-101.208332913215,21.0650001167752,2568
-101.200832913245,21.0108334503259,2382
-101.244166246406,21.0258334502657,2137
-101.184166246645,21.1075001166046,2302
-101.154166246765,21.0691667834251,2503
-101.178332913335,21.1550001164139,2532
-101.135832913504,21.0141667836459,2496
-101.219166246506,21.075833450065,2636
-101.151666246775,21.0591667834653,2597
-101.193332913275,21.1308334498443,2487
-101.239166246426,21.0383334502156,2289
-101.242499579746,21.0391667835455,2241
-101.164166246725,21.0633334501152,2701
-101.132499580184,21.1283334498543,2314
-101.226666246476,21.0658334501052,2421
-101.114999580254,20.9866667837563,2353
-101.090832913684,21.1133334499145,2148
-101.159166246745,20.9891667837462,2637
-101.188332913295,21.0891667833449,2582
-101.104166246964,21.0616667834552,2217
-101.275832912946,21.0716667834151,2397
-101.275832912946,21.076666783395,2392
-101.124999580214,21.154166783084,2184
-101.160832913405,21.1616667830539,2285
-101.221666246496,21.1591667830639,2663
